PIN,pc1,pc2,pc3,pc4,pc5,pc6,pc7,lat,long_,Prairie_X,sale_amoun,sale_year
06-14-100-001,-1.558348837,-10.11117359,-4.98449065,5.132593351,2.276460144,2.080310085,-1.96333475,42.384624,-88.043198,0,280000,2010
06-14-101-016,-0.663194899,-2.356180914,3.641796732,3.945028194,1.502395859,1.578607044,0.358350287,42.380829,-88.038923,0,202000,2010
06-14-101-018,-0.19398084,-3.062118077,3.505509404,3.806976207,1.379914525,1.549264126,0.339707595,42.380518,-88.038914,0,350000,2006
06-14-101-028,-0.015749767,-3.399048944,3.32275629,3.829596975,1.229953641,0.632427896,0.073040917,42.379113,-88.038917,0,330000,2007
06-14-101-030,-0.369273567,-2.573393023,3.598790104,3.878303375,1.369499053,1.719405211,0.332527879,42.378817,-88.039014,0,390000,2007
06-14-101-042,-0.918009919,-1.590883782,3.576283144,4.354460575,2.102948738,0.754966538,0.051537079,42.382787,-88.042178,0,199900,2007
06-14-101-053,-0.61595271,-1.962614016,3.484232339,4.303068344,2.126237238,0.814792831,0.075960128,42.382302,-88.043015,0,242500,2006
06-14-101-054,-0.594630634,-2.12224331,3.395732596,4.317986894,1.913400535,-0.524276903,0.82931923,42.382302,-88.042862,0,202000,2007
06-14-101-056,-1.231477912,-0.993744615,3.740490556,4.42159618,2.168453931,0.957232787,0.139648978,42.382389,-88.042499,0,230000,2007
06-14-101-059,-1.263052096,-1.006328616,3.767131349,4.394327643,2.099209467,0.974155596,0.155673486,42.38236,-88.042051,0,192000,2010
06-14-101-066,-1.843027063,-0.506712499,3.448989189,4.618389724,2.137927629,0.875122648,-0.14334105,42.38165,-88.043271,0,155000,2008
06-14-101-070,-0.655381212,-2.089906755,3.425282622,4.23836521,1.974172863,0.840788155,0.120030684,42.381834,-88.042612,0,228000,2008
06-14-101-072,-1.579534517,-1.136788362,3.33376346,4.496756548,1.940988309,0.708341353,-0.201539132,42.381953,-88.042204,0,187900,2007
06-14-101-077,-1.227123986,-1.051884532,3.625847156,4.416872002,2.10482126,0.926068809,0.13261046,42.381414,-88.043283,0,225000,2007
06-14-101-078,-1.84626259,-0.499739228,3.450847925,4.612544136,2.09599003,0.869429544,-0.151682288,42.381313,-88.043346,0,204500,2006
06-14-102-004,-1.255213885,-8.22992199,-2.189737954,3.948384724,2.591142444,2.659665293,3.008678989,42.38031,-88.036111,0,432000,2008
06-14-103-002,2.439902213,-9.219703628,0.922218014,3.429977809,1.169124543,-0.005019735,-1.781467621,42.379149,-88.037915,0,495000,2007
06-14-104-026,-0.037672808,-2.931512405,3.644839967,3.956526955,1.238293758,-1.162494021,1.300675684,42.380184,-88.040296,0,260000,2009
06-14-104-040,-0.57090626,-1.595037606,3.63964192,4.003403544,1.397167808,0.839556361,-0.376591331,42.382332,-88.040095,0,250000,2007
06-14-105-007,-0.419148136,-2.550003014,3.655252505,3.866104379,1.506670526,1.778980604,0.434344403,42.380372,-88.039502,0,225000,2010
06-14-105-008,0.202833861,-2.459869516,3.72082647,3.65288066,1.089581494,0.99332284,-0.31657368,42.380232,-88.039503,0,300000,2006
06-14-105-012,-0.186411051,-3.00680956,3.459679424,3.842897547,1.352146112,1.367874197,0.229933918,42.379672,-88.039505,0,260000,2010
06-14-106-001,-0.250705346,-2.7419112,3.489514632,3.958701834,1.570084561,1.187018007,0.235323014,42.379601,-88.040958,0,210000,2010
06-14-108-003,-0.952862998,-1.510995682,3.61573373,4.325127868,1.6779777,-0.456183174,1.046459607,42.380421,-88.042665,0,192000,2009
06-14-109-002,-0.830046368,-1.849057796,3.595051717,4.204197121,1.768923081,0.839778291,0.021733961,42.381261,-88.041658,0,250000,2007
06-14-109-004,-1.322027363,-1.138639529,3.73004559,4.298566828,1.83545818,1.006461502,0.196732294,42.381362,-88.041402,0,125000,2010
06-14-109-006,-1.634640857,-1.159186458,3.388952672,4.423333348,1.699837269,0.731016132,-0.193207545,42.381037,-88.041417,0,175000,2007
06-14-109-010,0.145013356,-2.416942552,3.483838018,3.840204859,1.160014316,-0.699775321,0.738442377,42.380692,-88.041682,0,312000,2007
06-14-302-012,1.365163077,1.431465154,0.075863265,0.88057212,-0.32058583,0.278316291,-0.699124179,42.37185,-88.038925,0,240000,2010
06-14-303-005,1.597861125,-0.012808228,-0.927422568,0.499969447,-0.003262773,0.968724809,-3.900254307,42.371733,-88.042645,0,297500,2007
06-14-304-010,-0.458493585,-2.277491722,3.638446928,3.914011212,1.113213683,1.422501318,0.147832181,42.37652,-88.037195,0,278750,2010
06-14-304-013,-0.076222488,-3.033546561,3.432406802,3.876600191,0.965553124,0.373486473,-0.069030657,42.376591,-88.036603,0,265000,2009
06-14-304-016,-0.365955521,-2.416472046,3.66110378,3.914152821,1.052883153,0.880953067,0.051162929,42.376704,-88.036026,0,260000,2010
06-14-305-003,-0.362004394,-2.608056375,3.474046858,3.92160099,1.021477888,0.486599239,0.00129604,42.37614,-88.036654,0,200000,2010
06-14-305-004,-0.262162123,-2.587451487,3.557530806,3.894769553,0.984609316,1.150537816,0.052226016,42.376164,-88.036468,0,270250,2008
06-14-306-003,0.206245337,-2.005385214,3.848568987,3.642108979,0.687622748,1.044770327,-0.416983077,42.375439,-88.03607,0,262500,2010
06-14-306-007,-0.55355666,-2.102562111,3.654680116,3.9338232,1.002020616,1.257563688,0.22753621,42.37562,-88.035321,0,215000,2010
06-14-306-016,-0.003527652,-2.098124108,3.692480915,3.702197027,0.695552487,0.755765582,-0.260944947,42.376572,-88.034181,0,220000,2010
06-14-307-006,-0.685527669,-1.908523692,3.576567581,4.210413852,1.242293977,-0.467645564,0.688747651,42.37782,-88.041462,0,229000,2008
06-14-307-007,-0.624482887,-1.93426026,3.628298885,4.149478588,1.382305059,0.745285521,0.008062637,42.377773,-88.041326,0,218000,2009
06-14-307-027,-0.984852577,-1.154827484,3.838789823,4.237431298,1.339613373,0.878825588,-0.000511346,42.376199,-88.040924,0,250000,2006
06-14-307-029,-0.547599102,-1.965865275,3.607191548,4.144931231,1.101780058,-0.120974225,0.413483914,42.376113,-88.040743,0,245000,2009
